component,att,se,p_value,fdr_bh,reject_bh_05
heritage_Tax.Burden,-1.1515044516979176,0.40892796716208923,0.004863925335323575,0.16719736448494985,FALSE
fraser_SizeGov,0.9066449628888794,0.5160375551813815,0.07892871698777283,0.4879229777425957,FALSE
fraser_FreeTrade,0.8729224263252388,0.7057478630712396,0.2161332094863705,0.6877525928021548,FALSE
fraser_Regulation,1.1021823297800384,0.8989738643217741,0.22018177553310941,0.6877525928021548,FALSE
