component,outcome,outcome_col,att,se,p_value,fdr_bh,reject_bh_05
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.4818397454921786,0.6385746879640546,0.4505160123776784,0.8675316696061538,FALSE
fraser_SizeGov,Gini_index,SI.POV.GINI,-1.387247650856041,1.2358246624400053,0.261638055968599,0.7116555122345893,FALSE
fraser_SizeGov,Income_share_bottom20,SI.DST.FRST.20,0.35507344347693676,0.31084116613944063,0.2533299035102679,0.7116555122345893,FALSE
fraser_SizeGov,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,8.408676969157302,4.30632952477022,0.05086321276962611,0.44808183198354595,FALSE
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.11707601019479567,0.6970379316421484,0.8666130327055629,0.9821614370663045,FALSE
fraser_LegalSystem,Gini_index,SI.POV.GINI,-0.5046785852066428,1.148857946313616,0.6604534510284452,0.977426464814589,FALSE
fraser_LegalSystem,Income_share_bottom20,SI.DST.FRST.20,0.05494661752228528,0.24915992843800114,0.8254603532070153,0.9821614370663045,FALSE
fraser_LegalSystem,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,-2.9239446858497775,3.626615710897202,0.420100976190543,0.840201952381086,FALSE
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.11121416685775977,0.5740788988183325,0.8463902167833455,0.9821614370663045,FALSE
fraser_SoundMoney,Gini_index,SI.POV.GINI,-0.39812415997488027,1.2363651880316355,0.7474437672111562,0.977426464814589,FALSE
fraser_SoundMoney,Income_share_bottom20,SI.DST.FRST.20,0.11352934194674576,0.32438476115917647,0.7263510160915971,0.977426464814589,FALSE
fraser_SoundMoney,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,-9.68836929394786,5.069199486140932,0.055975963715565985,0.44808183198354595,FALSE
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.7159590619748423,0.9674723366468976,0.4592814721444344,0.8675316696061538,FALSE
fraser_FreeTrade,Gini_index,SI.POV.GINI,1.4552791613735927,1.0766754442195174,0.17649004280728547,0.6667401617164118,FALSE
fraser_FreeTrade,Income_share_bottom20,SI.DST.FRST.20,-0.1632571285189357,0.42405147376921704,0.7002421134670604,0.977426464814589,FALSE
