component,outcome,outcome_col,att,se,p_value
heritage_Labor.Freedom,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,-0.9617016044866455,3.7706592940955446,0.7986855155393204
heritage_Monetary.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.09862843455059772,0.66172989537968685,0.8815170487073554
heritage_Monetary.Freedom,Gini_index,SI.POV.GINI,1.4261539177366307,1.414090929287273,0.3131998240855624
heritage_Monetary.Freedom,Income_share_bottom20,SI.DST.FRST.20,-0.20835564458856667,0.2944314563374731,0.47916005127479566
heritage_Monetary.Freedom,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,0.046182081403444195,4.409704068367556,0.991644043320045
heritage_Trade.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.4797224339061934,0.7403039687087931,0.516980178129312
heritage_Trade.Freedom,Gini_index,SI.POV.GINI,0.1610010880149606,1.426595528687259,0.9101440406175789
heritage_Trade.Freedom,Income_share_bottom20,SI.DST.FRST.20,-0.012971134833194816,0.3361773240753825,0.9692218953933761
heritage_Trade.Freedom,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,-4.742717136387728,3.704684468332304,0.2004766965144249
heritage_Investment.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.4017378351153776,0.4489342491550197,0.3708565334457189
heritage_Investment.Freedom,Gini_index,SI.POV.GINI,-1.6459942606547555,0.8474160521738848,0.052092503766705635
heritage_Investment.Freedom,Income_share_bottom20,SI.DST.FRST.20,0.24478098147851232,0.22783055880704406,0.28264377856484224
heritage_Investment.Freedom,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,-0.8753715613249233,4.6457089069343285,0.8505428521457663
heritage_Financial.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.49616506471313493,0.5067671883196041,0.32754099297630634
heritage_Financial.Freedom,Gini_index,SI.POV.GINI,1.7694556895527005,1.2627860010951775,0.16114481798803756
heritage_Financial.Freedom,Income_share_bottom20,SI.DST.FRST.20,-0.25734144508436774,0.3187597515903145,0.41948156161600764
heritage_Financial.Freedom,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,6.034582939501403,4.303164720969661,0.16080798938271765
