Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5291.15683408358,3832.55310953909,3578.74031732576,3944.8436387708,4298.68671097081,4901.55585401353,5293.95058645517,4703.26955163136,5126.27252945174,5790.83875196357,6262.79025338866,6882.19233239915,7222.35315098754,7636.05719381394,8071.85637663207,8529.55083539458,9100.17619950219,9765.21549539096,10520.1214959839,10876.2397483184,11255.347190983,11563.6910916595,11859.090052184,12249.1225163452,12718.2847603288,13203.7969468536,13933.283751028,14614.531161511,15386.701533437,15948.2789166128,15659.5886956223,17329.5506338461,18448.5176769995,19487.71076787,20591.4867251508
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11728.5457286791,11314.8647351204,11241.4154173757,10743.7063534104,10414.0348241407,10588.4433695754,10808.8788666941,10725.9673493368,11094.8875368585,11292.0372997165,11558.220469383,11742.5946761225,12213.1263531246,12835.1814413331,13226.7650481165,13738.495644436,13920.6940553701,14114.6745192683,14206.7767147039,14104.42817214,14496.4211312996,14641.9640935685,14697.5396133853,14778.1914257233,15073.7629403565,15239.5171456469,15511.6858768094,15427.6641894713,15343.4261222434,15199.1989965639,14194.1557479619,14496.8654697299,14782.2002970247,15159.3242373415,15501.9197003966
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50036.3007757561,47624.9668573542,45246.53307101,42605.6595832451,42716.3656354,44375.0247238159,46386.0912022485,50032.3529125128,51092.2222352218,52921.0452609846,54809.1441679423,59109.0136806378,61188.6370851474,63656.1958332184,64353.4858113531,65114.8053663021,66390.293726491,65534.1168555171,60691.6051530637,57203.9708883731,58285.0577756981,60470.4662377044,58172.1323929474,57332.1585611366,59929.2444670501,62105.1542389675,64402.8092369468,63239.6577711911,63048.5985572834,63215.899791913,55488.4902991095,59332.2029100127,63913.3835079105,64631.2963909271,65928.3071971004
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8368.72287865566,8172.50539080906,7447.49422684139,5483.27751126366,5379.47533872491,5983.18421691116,6567.67778259899,6810.21622212226,6895.02600537711,6817.05713550008,6796.40633958013,6848.68325514498,7523.81291488042,7518.88948314505,8081.75707952672,8895.37660461036,9588.82238860962,10437.5899897179,11134.7047183666,10933.2712187989,11077.1301919405,11037.6388778577,11519.9933863364,11626.1877218484,11721.664415634,11392.9059344932,10805.7122533667,10414.2358842987,10000.9443772509,9648.01103767178,8960.33797242389,8862.28133314521,8950.14259255142,8788.26106439635,8901.88736611562
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21074.57643609,21424.2911871461,21330.2731918527,22051.4373204261,23081.6639123529,21639.6020640854,22597.314506816,23350.3093865169,23996.1144041367,24462.2034022412,25547.6120273679,24014.7754593511,23958.1638142071,25136.001691807,26303.6179046605,27692.634871178,30827.3416754916,33245.2678606765,32756.3067839753,28405.6900929523,25826.6086383235,25023.9174488179,25592.9066121735,25206.8458285339,25557.5249124716,25734.1516444171,26627.71453894,27199.1952402262,28878.6067675471,29651.8641526705,23930.6714995115,25745.4958067746,27941.7851474762,28474.0444178181,29371.637778586
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17007.2844317191,18295.6091996812,19476.2840606477,20791.3451479504,21711.842788091,20819.4999479903,21695.5949515372,23172.1583398342,23783.1017185449,22714.5111302701,22281.3814299958,21066.4581290433,18571.7020471274,20005.1385113465,21591.449396517,23262.4075792816,24877.2493922296,26850.6645932771,27658.4853446831,25747.1976809995,28056.2570212342,29425.7593876084,28825.9666865361,29227.6601818437,28200.8152571318,28669.2061336796,27802.1057201498,28334.904184742,27367.115094108,26629.5529419501,23877.0931404855,26300.274261175,27825.0273492567,27230.3968496682,26771.9657650571
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6137.60045786761,5326.75285558236,3136.72428260526,2958.88037185647,3200.89649468569,3480.7559365251,3717.33576522762,3879.17938009678,4211.51276778797,4406.96706718618,4589.00825039977,5044.11647826468,5731.35346609213,6569.26023440631,7299.40001858866,8362.90084037119,9525.23146779778,10898.8483795634,11727.4821272949,10143.2350796867,10438.5641904169,10990.177099035,11796.2741177994,12194.0189523843,12667.3757330249,13112.7600902915,13192.9940731731,14243.8749003795,15037.0452420712,16215.3607965094,15052.9359791136,15921.705281964,17886.1783877168,19402.7510915578,20078.7848984844
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33063.0015877316,33993.2075313444,34371.1629150514,34540.335984878,35490.7214500469,35386.8602892056,34419.4315497134,35444.5787437592,35271.9070906287,35227.47657679,37524.0346018738,38729.4588237779,38098.9048329158,38086.0123762909,40000.5625183532,38828.2166342999,38566.8026759098,39462.5851547515,39881.5879733887,34986.1484622772,33951.6246182745,34837.9402869986,33972.3401082566,35621.7848546409,35746.8630679768,36660.6310808381,36832.9040242979,38116.8310992499,39278.8297271438,39652.6320700939,30347.6371851417,35104.7868035374,38979.8358245412,41964.7711908515,44558.9287594176
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36267.7410592234,35670.6678637309,35426.2848289008,36533.1468283451,37622.6524772939,38653.3366778657,39663.1617728168,40773.5660516518,42257.1718122395,43899.073794405,45099.0752097084,45428.2000837579,46688.3947760633,47581.2285345879,49061.2761503925,49997.0664953941,50693.7248649798,51663.2403953881,52473.3819160773,52407.9115378584,52739.2681556133,53257.0473237603,54403.8836902433,54895.0052588984,55489.068844146,55879.9958817103,56529.951824687,56881.8569859104,57647.8455068105,58048.6188420831,57260.4650530108,58327.4146842325,60029.1329190733,60684.9596204883,60303.9817116245
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43258.1751068055,44302.421470472,44734.8538849803,44601.2068091388,45497.1385930997,46639.5321839019,47608.6310978165,48575.1588721006,50216.6986894124,52004.5327523874,53534.3421055422,54032.1515612712,54565.0769851287,54919.7872512396,55980.2317146013,56890.2794433829,58460.2370782474,60470.9099906715,61157.9873105684,58810.4422020872,59730.5512005635,61272.2584397775,61376.7207131054,60863.0547666965,60845.6597729815,60951.6892510507,61572.7121353063,62535.8983176843,63778.0257051746,64609.374295614,60276.4153459141,62968.9422311892,65694.5513287254,64536.2981841434,63788.078678479
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10776.0677018086,10559.2119361527,8050.21624195194,6097.48622316834,4830.69940287626,4211.72114349636,4223.5229711304,4425.5882352872,4822.1601856452,5133.74812032569,5656.92989378687,6168.98512059749,6701.08174444207,7329.40601818943,7937.8594791002,10054.1003389401,13371.6585214534,16587.3657240228,17963.0208126838,19242.3900077231,19925.3900662137,19358.0778100345,19523.3737161356,20398.6462250349,20709.201611232,20678.7539572375,19822.4105943941,19659.0048562768,19781.8509058437,20101.491875147,19126.096851126,20111.3756952109,21051.2442291612,21310.7386915022,22072.1491157176
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33072.1596125382,31148.9052622825,29412.8804985919,28955.3510589021,29346.3604837079,30128.1935557246,30907.8208035756,30839.0247952491,31836.5264901331,33657.804588874,34597.1621145274,35072.3658990461,35610.6786425646,34740.7635535381,34617.8051137459,35365.4663980219,35789.1322131898,35797.118972073,34498.0351399173,32630.263065979,32711.4592459383,32535.6625139135,33667.5547098911,32402.9163503108,32712.6356664811,32777.5849410742,32172.3365152976,33050.0350128611,33650.2164350935,33202.4902105068,26452.695760929,31064.6822166194,34342.9285316569,35221.2696932313,36244.0500123244
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41856.54450772,47644.0234716882,49511.9474019627,54433.1375084971,52886.5789027329,53537.6828948177,54289.4380390309,54512.8551056888,55638.6935860684,56522.2261899823,57968.9956082135,57280.6986707494,55096.6571550779,54431.8763559658,54045.092888858,53478.2662415503,52691.9323366851,52731.7921672618,52765.3899455546,50665.7507489219,50704.8479679819,53132.3284162611,54516.8406594787,55376.4005147894,55065.8189472129,54149.9131524721,54107.0752236423,53859.7749589601,54893.0724411368,56749.9628370612,53814.2452592358,54954.6757895532,57572.997981018,57819.9051831242,58891.8304860737
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2069.78230100672,2101.38366035658,2174.38232866943,2234.8101219225,2279.09435302944,2351.70387946903,2413.54298201505,2475.59574602489,2555.06119218282,2624.06553797638,2712.93512215725,2803.55471950946,2866.43454328715,2958.91503115633,3071.83778764611,3231.61370692891,3407.4273502159,3608.91543819399,3787.9382761855,3942.13631207203,4125.46390163202,4352.42643359325,4592.04840919812,4822.72621378266,5068.63965672741,5352.71133299566,5682.53553494306,6005.70718781048,6392.59334024091,6838.32611608243,7015.19792797056,7441.06913961254,7888.16389098304,8242.39798977242,8486.78495660517
