index,component,outcome,coef,se,pvalue,significant
Heritage,heritage_Government.Integrity,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.027808680161823758,0.013765286900740852,0.04486145393997521,TRUE
Heritage,heritage_Judicial.Effectiveness,log_GDP_per_capita,2.109792155231814e-4,1.990155996277777e-4,0.2905372187939376,FALSE
Heritage,heritage_Judicial.Effectiveness,GDP_per_capita_growth,0.01469704020915268,0.01462292473607846,0.31623592230617753,FALSE
Heritage,heritage_Judicial.Effectiveness,Gini.index,0.002890523044941212,0.014144098802084568,0.8385368618342913,FALSE
Heritage,heritage_Judicial.Effectiveness,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,0.03154095274920625,0.0166957647717932,0.06212665135480466,FALSE
Heritage,heritage_Judicial.Effectiveness,Income.share.held.by.lowest.20.,-0.0015003456305431504,0.0027666190205316464,0.58896515406102945,FALSE
Heritage,heritage_Judicial.Effectiveness,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,0.0020908637961237608,0.004399278259853816,0.6351741742987689,FALSE
Heritage,heritage_Tax.Burden,log_GDP_per_capita,0.001682548264586356,0.0013430421042696645,0.21194449902002427,FALSE
Heritage,heritage_Tax.Burden,GDP_per_capita_growth,0.0011333625494086461,0.016468185419338387,0.9452099605866608,FALSE
Heritage,heritage_Tax.Burden,Gini.index,0.0838568913901851,0.029934949111851687,0.005770340398119488,TRUE
Heritage,heritage_Tax.Burden,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,-0.23937873126392467,0.1307711852104988,0.06918440189708228,FALSE
Heritage,heritage_Tax.Burden,Income.share.held.by.lowest.20.,-0.019471776334615727,0.00963177108296318,0.045017929047818525,TRUE
Heritage,heritage_Tax.Burden,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.01252712577559995,0.02346063766795973,0.59403671038068,FALSE
Heritage,heritage_Government.Spending,log_GDP_per_capita,0.0013705517559285576,6.803006323554767e-4,0.04546607078591302,TRUE
Heritage,heritage_Government.Spending,GDP_per_capita_growth,0.0021693686603814575,0.010368365307904198,0.8345110018855992,FALSE
Heritage,heritage_Government.Spending,Gini.index,0.015057077405253683,0.016673869994486768,0.36797507589714074,FALSE
Heritage,heritage_Government.Spending,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,0.07106813122563808,0.053887910933829684,0.18926832068442337,FALSE
Heritage,heritage_Government.Spending,Income.share.held.by.lowest.20.,-0.003209627970605997,0.004064003296523175,0.43092560028933313,FALSE
Heritage,heritage_Government.Spending,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.01689929617717042,0.010527837807471123,0.11023226849621434,FALSE
Heritage,heritage_Fiscal.Health,log_GDP_per_capita,-1.6148586213675888e-4,1.9193331776715285e-4,0.4012855216071569,FALSE
Heritage,heritage_Fiscal.Health,GDP_per_capita_growth,-0.017472363030456566,0.008178126783111124,0.03402230856244437,TRUE
Heritage,heritage_Fiscal.Health,Gini.index,-0.001426699195041956,0.007698851674734527,0.8534050158575006,FALSE
Heritage,heritage_Fiscal.Health,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,-0.01097901073419145,0.021764215326675652,0.6151901606244246,FALSE
Heritage,heritage_Fiscal.Health,Income.share.held.by.lowest.20.,3.063050738570678e-4,0.00217037181097107,0.8880860123975103,FALSE
Heritage,heritage_Fiscal.Health,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.004314895873120502,0.002546743271512178,0.09197090392423982,FALSE
Heritage,heritage_Business.Freedom,log_GDP_per_capita,0.00437565346927241,0.0010207497347393885,2.9740580406126884e-5,TRUE
Heritage,heritage_Business.Freedom,GDP_per_capita_growth,-0.026909854100350437,0.011807629147879665,0.023859855036855036,TRUE
Heritage,heritage_Business.Freedom,Gini.index,0.02677628017916467,0.02173411855808904,0.21990549343731525,FALSE
Heritage,heritage_Business.Freedom,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,-0.1678419653223441,0.07837362066722683,0.033865784921204845,TRUE
Heritage,heritage_Business.Freedom,Income.share.held.by.lowest.20.,-0.008657591722612552,0.006055802635997138,0.15492911411836488,FALSE
Heritage,heritage_Business.Freedom,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.0412681688716283,0.011778473573994502,5.80353362107087e-4,TRUE
Heritage,heritage_Labor.Freedom,log_GDP_per_capita,0.0014630460251564969,0.0011495234203160595,0.20478855498371196,FALSE
Heritage,heritage_Labor.Freedom,GDP_per_capita_growth,-0.021106350546317647,0.01369255686741724,0.1250040787870231,FALSE
Heritage,heritage_Labor.Freedom,Gini.index,0.006733820011234389,0.02234387478858979,0.7635747798160208,FALSE
Heritage,heritage_Labor.Freedom,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,0.018624969646862635,0.06017622156266618,0.7573927102067872,FALSE
Heritage,heritage_Labor.Freedom,Income.share.held.by.lowest.20.,1.242649145975175e-4,0.0053801872936979625,0.9816057413968815,FALSE
