component,n_treated
fraser_Regulation,150
fraser_SizeGov,135
fraser_SoundMoney,131
fraser_FreeTrade,145
fraser_LegalSystem,148
heritage_Property.Rights,181
heritage_Financial.Freedom,183
heritage_Business.Freedom,174
heritage_Fiscal.Health,62
heritage_Tax.Burden,156
heritage_Investment.Freedom,173
heritage_Monetary.Freedom,140
heritage_Trade.Freedom,151
heritage_Government.Integrity,172
heritage_Government.Spending,145
