ISO3,Year,SWIID_gini_disp
AZE,1996,31.9
AZE,1997,31.6
AZE,1998,31.3
AZE,1999,31
AZE,2000,30.6
AZE,2001,30.6
AZE,2002,29.1
AZE,2003,28.4
AZE,2004,27.9
AZE,2005,27.9
AZE,2006,28.2
AZE,2007,28.5
AZE,2008,28.8
BHS,2001,44.8
BHS,2002,44.6
BHS,2003,44.4
BHS,2004,44.2
BHS,2005,44.2
BHS,2006,44.3
BHS,2007,44.4
BHS,2008,44.4
BHS,2009,44.5
BHS,2010,44.5
BHS,2011,44.6
BHS,2012,44.6
BHS,2013,44.7
BHR,2014,47.9
BGD,1964,28.1
BGD,1965,28
BGD,1966,27.9
BGD,1967,27.8
BGD,1968,27.6
BGD,1969,27.5
BGD,1970,27.7
BGD,1971,27.9
BGD,1972,28.2
BGD,1973,28.4
BGD,1974,28.6
BGD,1975,28.9
BGD,1976,29.3
BGD,1977,29.6
BGD,1978,29.4
BGD,1979,29.2
BGD,1980,29.2
BGD,1981,29.1
BGD,1982,29.1
BGD,1983,28.9
BGD,1984,28.9
BGD,1985,29
BGD,1986,29.2
BGD,1987,29.4
BGD,1988,29.7
BGD,1989,29.9
BGD,1990,30.2
BGD,1991,30.5
BGD,1992,30.9
BGD,1993,31.3
BGD,1994,31.7
BGD,1995,32.2
BGD,1996,32.6
BGD,1997,32.8
BGD,1998,33
BGD,1999,33.3
BGD,2000,33.5
BGD,2001,33.6
BGD,2002,33.7
BGD,2003,33.8
BGD,2004,34
BGD,2005,34.1
BGD,2006,34.1
BGD,2007,34.1
BGD,2008,34.1
BGD,2009,34.1
BGD,2010,34.1
BGD,2011,34.1
BGD,2012,34
BGD,2013,34
BGD,2014,33.9
BGD,2015,33.9
BGD,2016,33.8
BGD,2017,33.8
BGD,2018,33.7
BGD,2019,33.7
BGD,2020,33.6
BGD,2021,33.5
BGD,2022,33.5
BRB,1979,45.1
BRB,1980,45.1
BRB,1981,45.1
BRB,1982,45.1
BRB,1983,45.1
BRB,1984,45.1
BRB,1985,45.1
BRB,1986,45.1
BRB,1987,45.1
BRB,1988,45
BRB,1989,45
BRB,1990,45
BRB,1991,45
BRB,1992,45
BRB,1993,44.9
BRB,1994,44.9
BRB,1995,44.9
BRB,1996,44.9
BRB,1997,44.8
BRB,1998,44.8
BRB,1999,44.8
BRB,2000,44.7
BRB,2001,44.7
BRB,2002,44.7
BRB,2003,44.6
BRB,2004,44.6
BRB,2005,44.6
BRB,2006,44.6
BRB,2007,44.5
BRB,2008,44.5
BRB,2009,44.5
BRB,2010,44.4
BRB,2011,44.1
BRB,2012,43.8
BRB,2013,43.5
BRB,2014,43.2
BRB,2015,42.9
BRB,2016,42.6
BRB,2017,42.4
BLR,1988,21.8
BLR,1989,21.7
BLR,1990,21.7
BLR,1991,21.9
BLR,1992,22
BLR,1993,22.2
BLR,1994,23
BLR,1995,23.9
BLR,1996,24.1
BLR,1997,24.5
BLR,1998,25.2
BLR,1999,25.4
BLR,2000,25.5
BLR,2001,25.4
BLR,2002,25.2
BLR,2003,24.8
BLR,2004,24.5
BLR,2005,24.6
BLR,2006,25
BLR,2007,25.3
BLR,2008,25.3
BLR,2009,25.3
BLR,2010,25.4
BLR,2011,25.4
BLR,2012,25.4
BLR,2013,25.3
BLR,2014,25.1
BLR,2015,24.9
BLR,2016,24.7
BLR,2017,24.6
BLR,2018,24.5
BLR,2019,24.5
BLR,2020,24.5
BLR,2021,24.9
BLR,2022,25
BLR,2023,25.2
BLR,2024,25.3
BEL,1974,39.9
BEL,1975,37.5
BEL,1976,35.1
BEL,1977,32.7
BEL,1978,30.3
BEL,1979,27.8
BEL,1980,27.1
BEL,1981,26.3
BEL,1982,25.5
BEL,1983,24.8
BEL,1984,24
BEL,1985,23.2
BEL,1986,23.3
BEL,1987,23.3
BEL,1988,23.4
BEL,1989,23.4
BEL,1990,23.4
BEL,1991,23.4
BEL,1992,23.4
BEL,1993,24
BEL,1994,24.6
BEL,1995,25.2
BEL,1996,25.3
BEL,1997,25.3
BEL,1998,25.5
BEL,1999,25.7
BEL,2000,25.9
BEL,2001,26
BEL,2002,26.2
BEL,2003,26.3
BEL,2004,26.7
BEL,2005,26.9
BEL,2006,27
BEL,2007,26.9
BEL,2008,26.6
BEL,2009,26.6
BEL,2010,26.5
BEL,2011,26.7
BEL,2012,26.6
BEL,2013,26.4
BEL,2014,26.3
BEL,2015,26.4
BEL,2016,26.3
BEL,2017,26.1
BEL,2018,25.9
BEL,2019,25.8
BEL,2020,25.3
BEL,2021,25.3
BEL,2022,25.1
BEL,2023,25.2
BLZ,1993,53
BLZ,1994,53.1
BLZ,1995,53.1
BLZ,1996,52.9
BLZ,1997,52.7
BLZ,1998,52.3
BLZ,1999,52
BLZ,2000,51.7
BLZ,2001,51.4
BLZ,2002,51.1
BLZ,2003,51
BLZ,2004,50.8
BLZ,2005,50.7
BLZ,2006,50.5
BLZ,2007,50.4
BLZ,2008,50.2
BLZ,2009,50.1
BLZ,2010,50
BLZ,2011,49.8
BLZ,2012,49.8
BLZ,2013,49.7
BLZ,2014,49.6
BLZ,2015,49.5
BLZ,2016,49.4
BLZ,2017,49.3
BLZ,2018,49.2
BEN,2002,43.3
BEN,2003,43.3
BEN,2004,43.8
BEN,2005,44.3
BEN,2006,44.8
BEN,2007,45.1
BEN,2008,45.2
BEN,2009,45.3
BEN,2010,45.2
BEN,2011,45.2
BEN,2012,45.1
BEN,2013,45.1
BEN,2014,45
BEN,2015,44.9
BEN,2016,44.5
BEN,2017,44.2
BEN,2018,43.8
BEN,2019,43.5
BEN,2020,43.3
BEN,2021,43.1
BTN,2003,40.8
BTN,2004,40.8
BTN,2005,40.7
BTN,2006,40.5
BTN,2007,40.3
BTN,2008,40.1
BTN,2009,39.9
BTN,2010,39.7
BTN,2011,39.5
BTN,2012,39.3
BTN,2013,39.1
BTN,2014,38.8
BTN,2015,38.6
BTN,2016,38.3
BTN,2017,38.1
BTN,2018,37.8
BTN,2019,37.5
BTN,2020,37.2
BTN,2021,37
BTN,2022,36.7
BOL,1992,48.7
BOL,1993,49.4
