outcome_label,component,coef,se,p_value,stars,coef_latex,n,r2
GDP_per_capita_growth,fraser_SizeGov,0.19878932963843451,0.07011199909815563,0.004603161524365297,**,$0.199^{**}$,3672,0.0021856726060215342
GDP_per_capita_growth,fraser_LegalSystem,0.0912412527839987,0.04667265378832658,0.050668513844878624,,$0.091$,3669,0.0010411041971718955
GDP_per_capita_growth,fraser_SoundMoney,-0.0366819628731604,0.048132783362998706,0.44604915658349464,,$-0.037$,3712,1.565241265395307e-4
GDP_per_capita_growth,fraser_FreeTrade,0.22546808679100594,0.06046371816595828,1.954341896581929e-4,***,$0.225^{***}$,3355,0.004129995297237627
GDP_per_capita_growth,fraser_Regulation,0.2003450179759721,0.07076628441408535,0.0046640883388506076,**,$0.200^{**}$,3712,0.002155724055757219
GDP_per_capita_growth,heritage_Property.Rights,-0.01451683261928888,0.0033540872485450833,1.5374985812490256e-5,***,$-0.015^{***}$,4389,0.004251839927173947
GDP_per_capita_growth,heritage_Government.Integrity,-0.014299987066540615,0.003500822190489977,4.4908481187661484e-5,***,$-0.014^{***}$,4405,0.0037751989786975
GDP_per_capita_growth,heritage_Judicial.Effectiveness,0.025196780004439426,0.009782806542191508,0.010140381760796385,*,$0.025^{*}$,1064,0.006207750396497674
GDP_per_capita_growth,heritage_Tax.Burden,0.006615084780219426,0.005444025120679864,0.22439007712487216,,$0.007$,4374,3.3760105239105095e-4
GDP_per_capita_growth,heritage_Government.Spending,0.009505428268620683,0.0032965928542866823,0.003953108669385055,**,$0.010^{**}$,4385,0.0018932948534475405
GDP_per_capita_growth,heritage_Fiscal.Health,-4.975161049344974e-4,0.006569547722912957,0.9396477502976266,,$-0.000$,1057,5.4361135945706346e-6
GDP_per_capita_growth,heritage_Business.Freedom,-0.012752859562246827,0.005155712042352395,0.013415687887835244,*,$-0.013^{*}$,4399,0.001389560577173798
GDP_per_capita_growth,heritage_Labor.Freedom,-0.0031736933594979804,0.006585222012255121,0.6298818224627702,,$-0.003$,3060,7.594839799241225e-5
GDP_per_capita_growth,heritage_Monetary.Freedom,-0.013523310871116299,0.005793308454547261,0.01962499495752293,*,$-0.014^{*}$,4390,0.0012402441126511104
