sd_mult_shock,component,outcome,outcome_col,att,se,p_value_raw
1,heritage_Tax.Burden,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.05728849443338491,0.30229515057111417,0.849691717155739
1,heritage_Trade.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.14484034042491728,0.25921498825127115,0.5763219078338672
1,fraser_FreeTrade,log_under5_mort,log_under5_mort,-7.535387955160853e-4,0.03817054884941889,0.9842496914817273
1,fraser_LegalSystem,log_under5_mort,log_under5_mort,-0.09441657015107108,0.04399652420799496,0.03187292574359457
1,fraser_Regulation,log_under5_mort,log_under5_mort,3.050021982179003e-4,0.05141661763704363,0.9952669948172184
1,fraser_SizeGov,log_under5_mort,log_under5_mort,0.00211605673850247,0.04051279855279272,0.9583439879462418
1,fraser_SoundMoney,log_under5_mort,log_under5_mort,-0.01496386957228159,0.04180989480853877,0.7204162136102286
1,heritage_Business.Freedom,log_under5_mort,log_under5_mort,-0.11339535411052476,0.06935671212751549,0.10205772318615464
1,heritage_Financial.Freedom,log_under5_mort,log_under5_mort,-0.00246124970683744,0.05139670004035847,0.961806052956576
1,heritage_Fiscal.Health,log_under5_mort,log_under5_mort,-4.437883938395432e-4,0.0174459842428378,0.979705718026871
1,heritage_Government.Integrity,log_under5_mort,log_under5_mort,-0.12700474614269663,0.05927647288428542,0.03214662041692586
1,heritage_Government.Spending,log_under5_mort,log_under5_mort,0.04232402123972473,0.08672829709961828,0.625544840742174
1,heritage_Investment.Freedom,log_under5_mort,log_under5_mort,0.05924936459200145,0.08207702315624467,0.4703712317635725
1,heritage_Judicial.Effectiveness,log_under5_mort,log_under5_mort,0.01269916545131279,0.01478989271390997,0.39054020836876174
1,heritage_Labor.Freedom,log_under5_mort,log_under5_mort,-0.02427132595055873,0.02582792464112287,0.3473550729929603
1,heritage_Monetary.Freedom,log_under5_mort,log_under5_mort,-0.02850107779210495,0.07303539611687289,0.6963616693926431
1,heritage_Property.Rights,log_under5_mort,log_under5_mort,-0.09536367478865378,0.05938534395842865,0.10830790716326628
1,heritage_Tax.Burden,log_under5_mort,log_under5_mort,-0.03682245678755877,0.069640939252961,0.5969807783121566
1,heritage_Trade.Freedom,log_under5_mort,log_under5_mort,-0.09535089344444654,0.06977065555703646,0.17174030915815935
1.5,fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.7159590619748423,1.054592736448324,0.4972035971858137
1.5,fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.11707601019479567,0.6672060720615389,0.8607087391945516
1.5,fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,1.1407406002472875,0.5643761114657239,0.04325473825571029
1.5,fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.4818397454921786,0.579176876405801,0.4054434605436336
1.5,fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.11121416685775976,0.6705413072610615,0.8682692562298941
1.5,heritage_Business.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.00880783233882362,0.4571413996793671,0.9846279539303698
1.5,heritage_Financial.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.496165064713135,0.4938205738437311,0.3150183737530465
1.5,heritage_Fiscal.Health,GDP_per_capita_growth,GDP_per_capita_growth,-1.0537901057503274,0.5247833640180891,0.04463820717069236
1.5,heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,-0.29087188209591774,0.517384979372126,0.5739823333857748
1.5,heritage_Government.Spending,GDP_per_capita_growth,GDP_per_capita_growth,0.2021040321868745,0.5249496960376061,0.7002396748086411
1.5,heritage_Investment.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.4017378351153776,0.4223140021937841,0.34146349332113796
1.5,heritage_Judicial.Effectiveness,GDP_per_capita_growth,GDP_per_capita_growth,-1.2428524833157133,0.667720820745934,0.06269680961685471
1.5,heritage_Labor.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.28376419739466785,0.5855788968254559,0.6279690020592364
1.5,heritage_Monetary.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.09862843455059772,0.7020433816810476,0.8882746987213789
1.5,heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,0.6094280325020676,0.6221674006203674,0.32732103165284154
1.5,heritage_Tax.Burden,GDP_per_capita_growth,GDP_per_capita_growth,-0.9063510511535076,0.5554750565289129,0.1027493776940878
1.5,heritage_Trade.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.4797224339061934,0.7809562952354069,0.5390331920903272
1.5,fraser_FreeTrade,Gini_SWIID,Gini_SWIID,-0.5111760397524749,0.6171991116015862,0.4075464774737183
1.5,fraser_LegalSystem,Gini_SWIID,Gini_SWIID,0.5871746552859822,0.5984375378546883,0.3265042224159385
1.5,fraser_Regulation,Gini_SWIID,Gini_SWIID,0.2664566674914919,0.5714636026185587,0.6410218319158068
1.5,fraser_SizeGov,Gini_SWIID,Gini_SWIID,-1.0568971069705355,0.404895285391114,0.00904635415982521
1.5,fraser_SoundMoney,Gini_SWIID,Gini_SWIID,0.2124974130370604,0.5669564449555076,0.7078064102183943
1.5,heritage_Business.Freedom,Gini_SWIID,Gini_SWIID,1.002388093473598,0.5226979323684088,0.05514656935596863
1.5,heritage_Financial.Freedom,Gini_SWIID,Gini_SWIID,0.6823591173831262,0.6869720384794564,0.3205710171848688
1.5,heritage_Fiscal.Health,Gini_SWIID,Gini_SWIID,-0.4788351132060501,0.827739404656275,0.5629364902952436
