sd_mult_shock,component,outcome,outcome_col,att,se,p_value_raw,fdr_bh,reject_bh_05
1,fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.9066449628888794,0.5315966354526748,0.08809879320111774,0.5590670277560167,FALSE
1,fraser_SizeGov,Gini_SWIID,Gini_SWIID,-0.5409049859422144,0.533568714837081,0.31070232630564537,0.7107076231261156,FALSE
1,fraser_SizeGov,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7643271437850393,0.22746223597080173,7.787548492694844e-4,0.05295532975032493,FALSE
1,fraser_SizeGov,log_under5_mort,log_under5_mort,0.00211605673850247,0.04051279855279272,0.9583439879462418,0.9952669948172184,FALSE
1,fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.03646870697161547,0.9327378016088932,0.9688118072761096,0.9952669948172184,FALSE
1,fraser_LegalSystem,Gini_SWIID,Gini_SWIID,0.4810111667543675,0.8451404326062806,0.5692547588976357,0.8681030442952619,FALSE
1,fraser_LegalSystem,Income_share_bottom50_WID,Income_share_bottom50_WID,0.308063446615497,0.27676755095693334,0.26567559153668313,0.6948438547882482,FALSE
1,fraser_LegalSystem,log_under5_mort,log_under5_mort,-0.09441657015107108,0.04399652420799496,0.03187292574359457,0.4158041497975403,FALSE
1,fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.09204324175330623,0.662198295664434,0.8894529191522711,0.9952669948172184,FALSE
1,fraser_SoundMoney,Gini_SWIID,Gini_SWIID,-0.3547889702060491,0.5692821005813264,0.5331388301165669,0.8631771535220607,FALSE
1,fraser_SoundMoney,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5248379494557712,0.2512132954950532,0.03668860145272414,0.4158041497975403,FALSE
1,fraser_SoundMoney,log_under5_mort,log_under5_mort,-0.01496386957228159,0.04180989480853877,0.7204162136102286,0.8997727093132117,FALSE
1,fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.8729224263252388,0.7444396563679002,0.2409602993856497,0.6948438547882482,FALSE
1,fraser_FreeTrade,Gini_SWIID,Gini_SWIID,-0.9104326012518064,0.5952013875725246,0.12611054352816098,0.5717011306609964,FALSE
1,fraser_FreeTrade,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.19684082382567572,0.2572188580712968,0.4441132184623383,0.7930282110152692,FALSE
