component,att,se,p_value,fdr_bh,reject_bh_05
heritage_Tax.Burden,-1.1515044516979176,0.3941954341597027,0.0034874057205705536,0.11857179449939882,FALSE
fraser_SizeGov,0.9066449628888794,0.5315966354526748,0.08809879320111774,0.5590670277560167,FALSE
fraser_Regulation,1.1021823297800384,0.8169230512327278,0.17727676423013033,0.6434143689004017,FALSE
fraser_FreeTrade,0.8729224263252388,0.7444396563679002,0.2409602993856497,0.6948438547882482,FALSE
