sd_mult_shock,component,outcome,outcome_col,att,se,p_value_raw,fdr_bh,reject_bh_05
1.5,fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.4818397454921786,0.579176876405801,0.4054434605436336,0.7698100130059123,FALSE
1.5,fraser_SizeGov,Gini_SWIID,Gini_SWIID,-1.0568971069705355,0.404895285391114,0.00904635415982521,0.20505069428937164,FALSE
1.5,fraser_SizeGov,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7391276879962712,0.21183934205640947,4.846580241862287e-4,0.03295674564466355,TRUE
1.5,fraser_SizeGov,log_under5_mort,log_under5_mort,-0.00993035432679727,0.03805539186155598,0.7941351223507555,0.9473892687693224,FALSE
1.5,fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.11707601019479567,0.6672060720615389,0.8607087391945516,0.9522953132844,FALSE
1.5,fraser_LegalSystem,Gini_SWIID,Gini_SWIID,0.5871746552859822,0.5984375378546883,0.3265042224159385,0.7675113845652836,FALSE
1.5,fraser_LegalSystem,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.1871851445546329,0.22572924441566175,0.406965041017347,0.7698100130059123,FALSE
1.5,fraser_LegalSystem,log_under5_mort,log_under5_mort,-0.04041646689918008,0.03580608458252062,0.258999198392012,0.7675113845652836,FALSE
1.5,fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.11121416685775976,0.6705413072610615,0.8682692562298941,0.9522953132844,FALSE
1.5,fraser_SoundMoney,Gini_SWIID,Gini_SWIID,0.2124974130370604,0.5669564449555076,0.7078064102183943,0.8751061071791056,FALSE
1.5,fraser_SoundMoney,Income_share_bottom50_WID,Income_share_bottom50_WID,0.24363373348009043,0.2366904363423337,0.303322315160969,0.7675113845652836,FALSE
1.5,fraser_SoundMoney,log_under5_mort,log_under5_mort,-0.05826217622448419,0.03760223558990264,0.1212774646019357,0.4436358735295336,FALSE
1.5,fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.7159590619748423,1.054592736448324,0.4972035971858137,0.7910164519200658,FALSE
1.5,fraser_FreeTrade,Gini_SWIID,Gini_SWIID,-0.5111760397524749,0.6171991116015862,0.4075464774737183,0.7698100130059123,FALSE
1.5,fraser_FreeTrade,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.05326076643416025,0.24253455002018492,0.826182115766817,0.9522953132844,FALSE
1.5,fraser_FreeTrade,log_under5_mort,log_under5_mort,0.04234619079596975,0.03241079851880455,0.19136703428988336,0.6506479165856034,FALSE
1.5,fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,1.1407406002472875,0.5643761114657239,0.04325473825571029,0.3190399320686017,FALSE
1.5,fraser_Regulation,Gini_SWIID,Gini_SWIID,0.2664566674914919,0.5714636026185587,0.6410218319158068,0.838259318659132,FALSE
1.5,fraser_Regulation,Income_share_bottom50_WID,Income_share_bottom50_WID,0.40929637206112224,0.181524385078303,0.02414754980320025,0.2736722311029362,FALSE
1.5,fraser_Regulation,log_under5_mort,log_under5_mort,-0.00617067559299888,0.03553473266998482,0.8621390026259941,0.9522953132844,FALSE
1.5,heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,0.6094280325020676,0.6221674006203674,0.32732103165284154,0.7675113845652836,FALSE
1.5,heritage_Property.Rights,Gini_SWIID,Gini_SWIID,-1.0780978855786112,0.47055822662562374,0.0219573931779257,0.2736722311029362,FALSE
1.5,heritage_Property.Rights,Income_share_bottom50_WID,Income_share_bottom50_WID,0.3567569659442724,0.19219955059900665,0.06342790277818026,0.3190399320686017,FALSE
1.5,heritage_Property.Rights,log_under5_mort,log_under5_mort,-0.09920088149572592,0.04379481998108396,0.02350481393258015,0.2736722311029362,FALSE
1.5,heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,-0.29087188209591774,0.517384979372126,0.5739823333857748,0.810122332539856,FALSE
1.5,heritage_Government.Integrity,Gini_SWIID,Gini_SWIID,-0.7183603864968106,0.46696068051131334,0.12395708230972262,0.4436358735295336,FALSE
1.5,heritage_Government.Integrity,Income_share_bottom50_WID,Income_share_bottom50_WID,0.518414288425895,0.2491336813215457,0.0374459960367989,0.3190399320686017,FALSE
1.5,heritage_Government.Integrity,log_under5_mort,log_under5_mort,-0.1257772818195152,0.0479577097052007,0.00872435420895706,0.20505069428937164,FALSE
1.5,heritage_Judicial.Effectiveness,GDP_per_capita_growth,GDP_per_capita_growth,-1.2428524833157133,0.667720820745934,0.06269680961685471,0.3190399320686017,FALSE
1.5,heritage_Judicial.Effectiveness,Gini_SWIID,Gini_SWIID,0.3020246156181141,0.4281336754367294,0.4805335588129891,0.7910164519200658,FALSE
1.5,heritage_Judicial.Effectiveness,Income_share_bottom50_WID,Income_share_bottom50_WID,0.10949580359243884,0.09512966473210216,0.2497254914330683,0.7675113845652836,FALSE
1.5,heritage_Judicial.Effectiveness,log_under5_mort,log_under5_mort,0.00711277961180917,0.01233988250063341,0.5643409377418506,0.810122332539856,FALSE
