sd_mult_shock,policy_component,ISO3,first_treat_year
1.5,fraser_LegalSystem,MNE,2006
1.5,fraser_LegalSystem,MNG,2009
1.5,fraser_LegalSystem,MOZ,2005
1.5,fraser_LegalSystem,MUS,2005
1.5,fraser_LegalSystem,MWI,2005
1.5,fraser_LegalSystem,NGA,2005
1.5,fraser_LegalSystem,NIC,2005
1.5,fraser_LegalSystem,NOR,2003
1.5,fraser_LegalSystem,NPL,2002
1.5,fraser_LegalSystem,OMN,2007
1.5,fraser_LegalSystem,PAK,2010
1.5,fraser_LegalSystem,PER,2001
1.5,fraser_LegalSystem,PHL,2012
1.5,fraser_LegalSystem,PNG,2006
1.5,fraser_LegalSystem,POL,2006
1.5,fraser_LegalSystem,PRT,2004
1.5,fraser_LegalSystem,QAT,2007
1.5,fraser_LegalSystem,ROU,2003
1.5,fraser_LegalSystem,RWA,2002
1.5,fraser_LegalSystem,SAU,2019
1.5,fraser_LegalSystem,SDN,2005
1.5,fraser_LegalSystem,SEN,2014
1.5,fraser_LegalSystem,SLE,2003
1.5,fraser_LegalSystem,SRB,2001
1.5,fraser_LegalSystem,SUR,2012
1.5,fraser_LegalSystem,SVK,2004
1.5,fraser_LegalSystem,SVN,2009
1.5,fraser_LegalSystem,SWZ,2005
1.5,fraser_LegalSystem,SYC,2003
1.5,fraser_LegalSystem,SYR,2001
1.5,fraser_LegalSystem,TCD,2017
1.5,fraser_LegalSystem,TGO,2007
1.5,fraser_LegalSystem,TJK,2005
1.5,fraser_LegalSystem,TLS,2012
1.5,fraser_LegalSystem,TTO,2005
1.5,fraser_LegalSystem,TUR,2002
1.5,fraser_LegalSystem,VNM,2004
1.5,fraser_LegalSystem,YEM,2005
1.5,fraser_LegalSystem,ZAF,2005
1.5,fraser_LegalSystem,ZMB,2007
1.5,fraser_SoundMoney,AGO,2006
1.5,fraser_SoundMoney,ALB,2003
1.5,fraser_SoundMoney,ARG,2015
1.5,fraser_SoundMoney,ARM,2001
1.5,fraser_SoundMoney,AZE,2004
1.5,fraser_SoundMoney,BDI,2001
1.5,fraser_SoundMoney,BFA,2004
1.5,fraser_SoundMoney,BGR,2001
1.5,fraser_SoundMoney,BHS,2018
1.5,fraser_SoundMoney,BIH,2001
1.5,fraser_SoundMoney,BLR,2004
1.5,fraser_SoundMoney,BLZ,2002
1.5,fraser_SoundMoney,BRA,2002
1.5,fraser_SoundMoney,BRB,2019
1.5,fraser_SoundMoney,BRN,2006
1.5,fraser_SoundMoney,BTN,2005
1.5,fraser_SoundMoney,CAF,2016
1.5,fraser_SoundMoney,COD,2001
1.5,fraser_SoundMoney,COL,2001
1.5,fraser_SoundMoney,COM,2006
1.5,fraser_SoundMoney,CPV,2003
1.5,fraser_SoundMoney,CRI,2011
1.5,fraser_SoundMoney,CYP,2002
1.5,fraser_SoundMoney,CZE,2001
1.5,fraser_SoundMoney,DJI,2009
1.5,fraser_SoundMoney,DOM,2005
1.5,fraser_SoundMoney,ECU,2009
1.5,fraser_SoundMoney,EGY,2018
1.5,fraser_SoundMoney,ETH,2004
1.5,fraser_SoundMoney,GEO,2001
1.5,fraser_SoundMoney,GHA,2002
1.5,fraser_SoundMoney,GIN,2007
1.5,fraser_SoundMoney,GMB,2005
1.5,fraser_SoundMoney,GNB,2001
1.5,fraser_SoundMoney,GRC,2018
1.5,fraser_SoundMoney,HRV,2011
1.5,fraser_SoundMoney,HTI,2009
1.5,fraser_SoundMoney,HUN,2001
1.5,fraser_SoundMoney,IDN,2003
1.5,fraser_SoundMoney,IND,2015
1.5,fraser_SoundMoney,IRQ,2005
1.5,fraser_SoundMoney,ISL,2016
1.5,fraser_SoundMoney,ISR,2001
1.5,fraser_SoundMoney,JAM,2009
1.5,fraser_SoundMoney,JOR,2009
1.5,fraser_SoundMoney,KAZ,2004
1.5,fraser_SoundMoney,KEN,2009
1.5,fraser_SoundMoney,KGZ,2001
1.5,fraser_SoundMoney,KHM,2009
1.5,fraser_SoundMoney,LAO,2009
1.5,fraser_SoundMoney,LBN,2002
1.5,fraser_SoundMoney,LBR,2013
1.5,fraser_SoundMoney,LBY,2003
1.5,fraser_SoundMoney,LKA,2009
1.5,fraser_SoundMoney,LSO,2003
1.5,fraser_SoundMoney,LTU,2002
1.5,fraser_SoundMoney,LVA,2009
1.5,fraser_SoundMoney,MDA,2001
1.5,fraser_SoundMoney,MDG,2003
1.5,fraser_SoundMoney,MLT,2004
1.5,fraser_SoundMoney,MMR,2004
1.5,fraser_SoundMoney,MNE,2002
1.5,fraser_SoundMoney,MNG,2002
1.5,fraser_SoundMoney,MOZ,2001
1.5,fraser_SoundMoney,MRT,2003
1.5,fraser_SoundMoney,MWI,2007
1.5,fraser_SoundMoney,MYS,2013
1.5,fraser_SoundMoney,NIC,2009
1.5,fraser_SoundMoney,NOR,2016
1.5,fraser_SoundMoney,PHL,2010
1.5,fraser_SoundMoney,PRY,2004
1.5,fraser_SoundMoney,QAT,2002
1.5,fraser_SoundMoney,ROU,2001
1.5,fraser_SoundMoney,RUS,2004
1.5,fraser_SoundMoney,RWA,2010
1.5,fraser_SoundMoney,SDN,2002
1.5,fraser_SoundMoney,SRB,2003
1.5,fraser_SoundMoney,SUR,2002
1.5,fraser_SoundMoney,SVK,2004
1.5,fraser_SoundMoney,SVN,2001
1.5,fraser_SoundMoney,SYC,2010
1.5,fraser_SoundMoney,SYR,2001
1.5,fraser_SoundMoney,TCD,2010
