component,outcome,outcome_col,att,se,p_value
heritage_Monetary.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.20962056578294336,0.6021670633800835,0.7277573384150977
heritage_Monetary.Freedom,Gini_SWIID,Gini_SWIID,-0.6468705387375624,0.6558735791450319,0.32399906348396446
heritage_Monetary.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7230285630107884,0.29651802330973165,0.014752575355232127
heritage_Monetary.Freedom,log_under5_mort,log_under5_mort,-0.028501077792104954,0.07303539611687289,0.6963616693926431
heritage_Trade.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.035229922147087006,0.5806708501557213,0.951621171537737
heritage_Trade.Freedom,Gini_SWIID,Gini_SWIID,-0.7409497220370499,0.7164163685292557,0.3010218538229411
heritage_Trade.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.14484034042491728,0.25921498825127115,0.5763219078338672
heritage_Trade.Freedom,log_under5_mort,log_under5_mort,-0.09535089344444654,0.06977065555703646,0.17174030915815935
heritage_Investment.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.4017378351153776,0.4783252677570977,0.4009733169941123
heritage_Investment.Freedom,Gini_SWIID,Gini_SWIID,0.43878521929075653,0.6812628158041351,0.5195259716723457
heritage_Investment.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5745754867331473,0.28614849630558786,0.04464726310341978
heritage_Investment.Freedom,log_under5_mort,log_under5_mort,0.05924936459200145,0.08207702315624467,0.4703712317635725
heritage_Financial.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.49616506471313493,0.4978640221251001,0.3189647723634753
heritage_Financial.Freedom,Gini_SWIID,Gini_SWIID,0.6823591173831262,0.5836271344659364,0.24233529696127296
heritage_Financial.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.27562372244077504,0.2940088717321637,0.3485182029319539
heritage_Financial.Freedom,log_under5_mort,log_under5_mort,-0.0024612497068374445,0.05139670004035847,0.961806052956576
