component,outcome,outcome_col,att,se,p_value,fdr_bh,reject_bh_05
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.4818397454921786,0.579176876405801,0.4054434605436336,0.7698100130059123,FALSE
fraser_SizeGov,Gini_SWIID,Gini_SWIID,-1.0568971069705357,0.404895285391114,0.009046354159825219,0.20505069428937164,FALSE
fraser_SizeGov,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7391276879962712,0.21183934205640947,4.846580241862287e-4,0.032956745644663554,TRUE
fraser_SizeGov,log_under5_mort,log_under5_mort,-0.009930354326797274,0.03805539186155598,0.7941351223507555,0.9473892687693223,FALSE
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.11707601019479567,0.6672060720615389,0.8607087391945516,0.9522953132844,FALSE
fraser_LegalSystem,Gini_SWIID,Gini_SWIID,0.5871746552859822,0.5984375378546883,0.3265042224159385,0.7675113845652836,FALSE
fraser_LegalSystem,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.1871851445546329,0.22572924441566175,0.406965041017347,0.7698100130059123,FALSE
fraser_LegalSystem,log_under5_mort,log_under5_mort,-0.04041646689918008,0.035806084582520624,0.258999198392012,0.7675113845652836,FALSE
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.11121416685775977,0.6705413072610615,0.8682692562298941,0.9522953132844,FALSE
fraser_SoundMoney,Gini_SWIID,Gini_SWIID,0.2124974130370604,0.5669564449555076,0.7078064102183943,0.8751061071791056,FALSE
fraser_SoundMoney,Income_share_bottom50_WID,Income_share_bottom50_WID,0.24363373348009043,0.2366904363423337,0.303322315160969,0.7675113845652836,FALSE
fraser_SoundMoney,log_under5_mort,log_under5_mort,-0.058262176224484194,0.037602235589902645,0.1212774646019357,0.4436358735295336,FALSE
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.7159590619748423,1.0545927364483239,0.4972035971858137,0.7910164519200658,FALSE
fraser_FreeTrade,Gini_SWIID,Gini_SWIID,-0.5111760397524749,0.6171991116015862,0.4075464774737183,0.7698100130059123,FALSE
fraser_FreeTrade,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.05326076643416025,0.24253455002018492,0.826182115766817,0.9522953132844,FALSE
fraser_FreeTrade,log_under5_mort,log_under5_mort,0.04234619079596975,0.03241079851880455,0.19136703428988336,0.6506479165856034,FALSE
fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,1.1407406002472877,0.5643761114657239,0.04325473825571029,0.3190399320686017,FALSE
fraser_Regulation,Gini_SWIID,Gini_SWIID,0.2664566674914919,0.5714636026185587,0.6410218319158068,0.838259318659132,FALSE
fraser_Regulation,Income_share_bottom50_WID,Income_share_bottom50_WID,0.40929637206112224,0.18152438507830299,0.02414754980320025,0.2736722311029362,FALSE
